,id,reviews.text,reviews.rating,reviews.text_esp
0,AVqVGWQDv8e3D1O-ldFr,This is a very nice tablet for my GF who has never had one before.,5.0,Esta es una tableta muy agradable para mi novia que nunca antes había tenido una.
1,AVqkIhwDv8e3D1O-lebb,Love this tablet. Easy to use. And price was right,5.0,Me encanta esta tableta. Fácil de usar. Y el precio era correcto
2,AVphgVaX1cnluZ0-DR74,Affordable price awesome quality I love my Amazon fire tablet,5.0,Precio asequible calidad increíble Me encanta mi tableta Amazon Fire
3,AVphgVaX1cnluZ0-DR74,I bought this after speaking with a sales rep in Tigertown. I bought this for my kid and he loves it. Its my 2nd kindle.,5.0,Compré esto después de hablar con un representante de ventas en Tigertown. Compré esto para mi hijo y le encanta. Es mi segundo kindle.
4,AVqVGWLKnnc1JgDc3jF1,Bought this tablet for my 2 &1/2 year old and it is perfect. Games and videos that come on it are very age appropriate and the tablet has been very durable thus far.,5.0,Compré esta tableta para mi hijo de 2 años y medio y es perfecta. Los juegos y videos que vienen son muy apropiados para la edad y la tableta ha sido muy duradera hasta ahora.
5,AVpfpK8KLJeJML43BCuD,Great product works direct with internet access or through your phone,5.0,Gran producto funciona directamente con acceso a Internet o a través de su teléfono
6,AVpfl8cLLJeJML43AE3S,"Everyone should own an Amazon Echo. My Echo is like having someone that does exactly what you ask quickly without having to think about it or give you any back talk :). I love my Amazon Echo! This is beyond anything I've used in the past. I find myself relying on it more than I do any other device in my house. The entire family enjoys it. We are planning to purchase a couple more to have on each floor of the house. We love it! If you have been thinking about buying one and haven't, you should pick one up today. You'll be glad you did! A great device/friend the entire family will enjoy! By the way, ordering fast food delivery is one of my family's favorite ask! :)",5.0,"Todo el mundo debería tener un Amazon Echo. My Echo es como tener a alguien que hace exactamente lo que le pides rápidamente sin tener que pensarlo ni responderte :). ¡Me encanta mi Amazon Echo! Esto está más allá de todo lo que he usado en el pasado. Me encuentro confiando en él más que en cualquier otro dispositivo en mi casa. Toda la familia lo disfruta. Estamos planeando comprar un par más para tener en cada piso de la casa. ¡Lo amamos! Si ha estado pensando en comprar uno y no lo ha hecho, debe elegir uno hoy. ¡Estaras contento de haberlo hecho! ¡Un gran dispositivo/amigo que disfrutará toda la familia! Por cierto, ¡pedir comida rápida a domicilio es una de las preguntas favoritas de mi familia! :)"
7,AVpfl8cLLJeJML43AE3S,"I so enjoy Alexa. My favorite radio station is just a request away, as is most information. Great conversation piece!",5.0,"Disfruto mucho de Alexa. Mi estación de radio favorita está a solo una solicitud de distancia, al igual que la mayoría de la información. ¡Gran pieza de conversación!"
8,AV1YnRtnglJLPUi8IJmV,I took my Kindle to the beach. You can read perfectly in the sunshine. I also like reading it while laying down because the page stays upright. it doesn't go horizontal when you move it,5.0,Llevé mi Kindle a la playa. Puedes leer perfectamente bajo el sol. También me gusta leerlo acostado porque la página se mantiene en posición vertical. no va horizontal cuando lo mueves
9,AVphgVaX1cnluZ0-DR74,"Perfect for reading, easy to carry, why spend more",5.0,"Perfecto para leer, fácil de llevar, ¿por qué gastar más?"
10,AV1YnRtnglJLPUi8IJmV,bought for mothers day.I got it because I saw it as one of the best books.She is so happy with the surprise,5.0,comprado para el día de la madre. Lo compré porque lo vi como uno de los mejores libros. Ella está muy feliz con la sorpresa.
11,AVphgVaX1cnluZ0-DR74,"It's not a high end tablet, but it is great for ebooks and light gaming. Great battery life too",5.0,"No es una tableta de gama alta, pero es excelente para libros electrónicos y juegos livianos. Gran duración de la batería también"
12,AVphgVaX1cnluZ0-DR74,This product is totally worth buying. It's perfect for someone who likes to play games or read.,5.0,Vale la pena comprar este producto. Es perfecto para alguien a quien le gusta jugar o leer.
13,AVphgVaX1cnluZ0-DR74,Great tablet and great for the kids and simple to use and set up. I got 5 for my nephews and never had a problem with them.,5.0,Gran tableta y excelente para los niños y fácil de usar y configurar. Tengo 5 para mis sobrinos y nunca tuve un problema con ellos.
